date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:55	14970/14970	---M--	200	added ('OK')	image/jpeg	etag:%225e6f796b-3a7a%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/lens-big.jpg	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/lens-big.jpg	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:55	41559/41559	---M--	200	added ('OK')	image/png	etag:%225e6f7975-a257%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/img/template-mac.png	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/img/template-mac.png	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:55	88145/88145	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6f79d1-15851%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/jquery/jquery.min.js	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:55	80698/80698	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6f7996-13b3a%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:56	3121/3121	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6f7a12-c31%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/jquery.cookie/jquery.cookie.js	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/jquery.cookie/jquery.cookie.js	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:56	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6f7a23-ad36%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel/owl.carousel.min.js	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel/owl.carousel.min.js	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:56	3464/3464	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6f7a26-d88%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel2.thumbs/owl.carousel2.thumbs.min.js	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel2.thumbs/owl.carousel2.thumbs.min.js	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:56	24376/24376	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6f79e0-5f38%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/jquery-validation/jquery.validate.min.js	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/jquery-validation/jquery.validate.min.js	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:57	9939/9939	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e6f7979-26d3%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/js/front.js	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/js/front.js	(from https://demo.bootstrapious.com/photo/1-5-0/)
13:59:57	4976/4976	---M--	200	added ('OK')	image/png	etag:%225e6f7a1f-1370%22	https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel/assets/owl.video.play.png	C:/My%20Web%20Sites/hopeless/d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel/assets/owl.video.play.png	(from https://d19m59y37dris4.cloudfront.net/photo/1-5-0/vendor/owl.carousel/assets/owl.carousel.min.css)
